code,code_digits,slug,name_fr,name_ar,type,region_code,province_code,cercle_code,population_2024,households_2024,population_2014,change_pct,area_km2,density_2024
01.405.09.01,014050901,ain-beida,Ain Beida,عين بيضاء,rural,01,01.405,01.405.09,10368,2690,11978,-13.44,221.35,46.84
01.405.11.07,014051107,kalaat-bouqorra,Kalaat Bouqorra,قلعة بوقرة,rural,01,01.405,01.405.11,13999,3767,16163,-13.39,108.89,128.56
01.405.11.11,014051111,zoumi,Zoumi,زومي,rural,01,01.405,01.405.11,36573,9762,40661,-10.05,293.57,124.58
02.411.01.23,024110123,oujda,Oujda,وجدة,urban,02,02.411,,506224,134330,494252,2.42,96.87,5225.84
02.411.01.11,024110111,bni-drar,Bni Drar,بني درار,urban,02,02.411,,10907,2595,10934,-0.25,3.57,3056.25
02.411.01.19,024110119,naima,Naima,النعيمة,urban,02,02.411,,1019,257,1088,-6.34,5.16,197.38
02.411.03.03,024110303,ain-sfa,Ain Sfa,عين الصفا,rural,02,02.411,02.411.03,4426,1039,4490,-1.43,351.18,12.6
02.411.03.07,024110307,bsara,Bsara,لبصارة,rural,02,02.411,02.411.03,1335,325,1428,-6.51,136.1,9.81
02.411.03.05,024110305,bni-khaled,Bni Khaled,بني خالد,rural,02,02.411,02.411.03,6239,1456,6745,-7.5,179.42,34.77
02.411.03.01,024110301,ahl-angad,Ahl Angad,أهل انكاد,rural,02,02.411,02.411.03,18051,4292,14196,27.16,287.15,62.86
02.411.05.11,024110511,mestferki,Mestferki,مستفركي,rural,02,02.411,02.411.05,4335,1023,4378,-0.98,234.81,18.46
02.411.05.17,024110517,sidi-boulenouar,Sidi Boulenouar,سيدي بولنوار,rural,02,02.411,02.411.05,3600,776,3452,4.29,167.11,21.54
02.411.05.19,024110519,sidi-moussa-lemhaya,Sidi Moussa Lemhaya,سيدي موسى-لمهاية,rural,02,02.411,02.411.05,6062,1005,4094,48.07,176.29,34.39
02.411.05.09,024110509,isly,Isly,إسلي,rural,02,02.411,02.411.05,10256,1831,6710,52.85,207.16,49.51
